project-key,project-name,repo,github_org,github_repo,gh_repo_visibility
BBSMIG,bbs-migration-demo,Maven Hello World,cmf-factory,calotracker_bbs-12a-yash5,private
BBSMIG,bbs-migration-demo,solid-api,cmf-factory,solid-api_bbs-12a-yash5,private
